,projectKey,ncloc_java,files,classes,functions,design_issues,java:S104,java:S107,java:S112,java:S133,java:S1104,java:S1113,java:S1118,java:S1130,java:S1133,java:S1160,java:S1161,java:S1165,java:S1166,java:S1182,java:S1185,java:S1188,java:S1194,java:S1199,java:S1210,java:S1217,java:S1220,java:S1221,java:1311,java:S1444,java:S1598,java:S1609,java:S1610,java:S2059,java:S2062,java:S2134,java:S2157,java:S2166,java:S2221,java:S2222,java:S2236,java:S2273,java:S2276,java:S2386,java:S2638,java:S2693,java:S2696,java:S2885,java:S2975,java:S3389,java:S3422
19,apache_sling-org-apache-sling-jcr-classloader,904,6,6,54,11,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,apache_sling-org-apache-sling-installer-provider-jcr,1261,11,15,81,5,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,apache_sling-org-apache-sling-jcr-resource,3711,33,33,281,5,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,servicecomb-pack,13737,327,332,1588,58,0,17,20,0,0,0,5,12,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,commons-numbers,5025,76,66,456,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,commons-rng,7042,143,162,809,10,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,commons-statistics,2453,36,34,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,cxf,382502,4440,4630,34970,3271,0,37,746,0,49,3,1,1196,58,0,833,34,0,2,6,0,0,210,3,1,0,4,0,49,0,0,1,0,0,0,0,2,0,0,0,0,1,9,0,0,18,0,4,0,4
28,apache_sling-org-apache-sling-pipes,4537,55,64,454,45,0,0,27,0,0,0,2,5,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
29,apache_sling-org-apache-sling-provisioning-model,2227,26,30,157,12,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,apache_sling-org-apache-sling-query,3071,78,79,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,apache_sling-org-apache-sling-resource-filter,3669,24,24,218,66,0,0,18,0,21,0,1,0,2,0,1,5,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
32,apache_sling-org-apache-sling-resourcemerger,1105,17,20,76,7,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,apache_sling-org-apache-sling-resourceresolver,10142,60,83,778,82,0,0,2,0,7,0,4,56,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,apache_sling-org-apache-sling-discovery-impl,3738,16,17,157,10,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,apache_sling-org-apache-sling-rewriter,2544,37,46,224,10,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
36,apache_groovy,167242,1503,1771,18228,3228,0,419,217,0,165,0,131,219,594,0,1278,13,0,26,24,0,0,33,6,0,0,2,0,5,0,0,15,0,1,0,1,0,0,0,0,0,0,22,0,0,25,0,32,0,0
37,hadoop-ozone,113643,1406,1416,9718,265,0,29,112,0,0,0,6,75,9,0,7,9,0,0,6,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
38,apache_incubator-iotdb,77937,870,1022,8096,225,0,18,23,0,50,0,20,27,11,0,5,5,0,14,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,0,0,0,14,0,0,10,0,17,0,0
39,apache_isis,155178,3377,4258,16809,593,0,14,114,0,3,0,100,130,121,0,26,1,0,0,12,0,0,43,9,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,1,0,0
40,apache_incubator-tamaya,7087,115,111,801,26,0,0,4,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,apache_incubator-tamaya-extensions,15375,316,276,1565,55,0,2,2,0,0,0,0,28,10,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,apache_sling-org-apache-sling-junit-teleporter,897,8,9,67,10,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,apache_sling-org-apache-sling-xss,1299,17,21,106,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,apache_sling-org-apache-sling-app-cms,8672,189,183,872,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,apache_sling-org-apache-sling-jcr-repoinit,1259,17,22,106,12,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,apache_sling-org-apache-sling-testing-sling-mock,3470,57,50,437,44,0,2,21,0,0,0,0,10,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,apache_sling-org-apache-sling-junit-core,2366,36,37,241,45,0,0,8,0,0,0,2,23,2,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
48,apache_sling-org-apache-sling-feature-modelconverter,842,5,3,21,6,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,apache_sling-org-apache-sling-file-optimization,910,19,20,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,apache_sling-org-apache-sling-fsresource,3299,35,42,354,269,0,0,6,0,4,0,0,256,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,apache_sling-org-apache-sling-auth-form,1068,11,12,82,6,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,apache_openmeetings,49554,726,583,5128,112,0,10,45,0,0,0,3,3,7,0,0,0,0,0,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,jspwiki-builder,39027,686,516,3110,241,0,0,6,0,48,0,6,51,48,0,38,0,0,1,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,4,0,0
54,apache_sling-org-apache-sling-jobs,1256,27,37,167,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,apache_sling-org-apache-sling-launchpad-base,4280,29,35,241,17,0,0,4,0,0,0,2,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
56,apache_sling-org-apache-sling-launchpad-integration-tests,15638,166,172,971,302,0,0,126,0,0,0,3,138,0,0,4,0,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
57,apache_sling-org-apache-sling-launchpad-test-services,4343,69,72,243,46,0,0,33,0,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
58,apache_sling-org-apache-sling-tracer,1310,15,23,128,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,apache_sling-maven-launchpad-plugin,2818,27,28,170,5,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,apache_sling-maven-plugin,2229,32,29,143,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,apache_sling-org-apache-sling-models-impl,3913,36,61,320,8,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,apache_sling-org-apache-sling-models-integration-tests,804,47,46,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,apache_sling-org-apache-sling-api,4254,121,116,662,65,0,0,0,0,13,0,8,0,33,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
64,apache_sling-org-apache-sling-auth-core,2747,31,33,210,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
65,apache_sling-org-apache-sling-bundleresource-impl,1019,10,10,77,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,apache_sling-org-apache-sling-clam,1196,20,20,95,18,0,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,apache_sling-org-apache-sling-committer-cli,1325,46,37,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,apache_sling-org-apache-sling-commons-jcr-file,1459,14,12,188,7,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,apache_sling-org-apache-sling-commons-log,3649,41,57,298,7,0,1,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,apache_sling-org-apache-sling-commons-metrics,1412,24,33,150,6,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,JMeter,115963,1138,1326,11101,389,0,22,62,0,0,1,25,46,126,0,0,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,57,0,0
72,commons-compress,26082,245,300,2445,92,0,1,0,0,0,2,16,13,34,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
73,apache-dolphinscheduler,41163,775,537,5091,285,0,25,169,0,4,1,42,30,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0
74,apache_sling-org-apache-sling-feature-io,2414,22,21,122,10,0,0,3,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,apache_sling-org-apache-sling-jcr-webdav,898,15,14,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
76,apache_sling-org-apache-sling-jmx-provider,1021,8,8,62,6,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,apache_sling-org-apache-sling-distribution-journal,4531,69,74,458,17,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,apache_sling-kickstart-maven-plugin,1315,13,13,96,19,0,0,12,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,ant-master,112288,925,1277,11272,1330,0,14,4,0,20,5,17,817,206,0,172,3,0,2,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0
81,apache_sling-org-apache-sling-scripting-thymeleaf,1141,17,16,95,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,poi-parent,259142,2458,3192,28697,1651,0,21,286,0,43,1,64,220,569,0,128,6,0,168,18,0,0,99,3,0,0,0,0,2,0,0,7,0,0,0,1,1,0,0,0,0,0,14,0,0,0,0,0,0,0
83,apache_incubator-ratis,30509,334,511,3524,149,0,12,24,0,34,0,7,16,1,0,6,3,0,0,4,0,0,0,3,0,0,0,0,34,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
84,apache_sling-org-apache-sling-testing-clients,3822,69,62,445,46,0,0,4,0,0,0,9,12,17,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,apache_struts,109617,1543,1620,11893,1707,0,24,141,0,67,0,62,438,108,0,703,8,0,0,10,0,0,78,1,0,0,0,0,28,0,0,1,0,2,0,4,0,0,0,0,0,0,14,0,0,16,0,2,0,0
86,servicecomb-toolkit,13462,484,465,1387,63,0,2,32,0,0,0,17,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
88,apache_sling-org-apache-sling-servlets-get,2037,15,20,117,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,apache_plc4x,39542,706,709,4197,267,0,11,55,0,4,0,19,41,25,0,2,4,0,1,4,0,0,94,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,apache_incubator-tamaya-sandbox,7056,132,131,814,7,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,commons-geometry,15522,191,238,2221,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,apache_sling-whiteboard,2182,36,28,184,52,0,0,27,0,2,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,apache_sling-org-apache-sling-distribution-core,13802,200,205,1152,71,0,6,24,0,0,0,15,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,apache_sling-org-apache-sling-testing-serversetup,943,15,13,85,9,0,0,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,apache_sling-org-apache-sling-serviceusermapper,918,12,14,69,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,apache_sling-org-apache-sling-servlet-helpers,2172,20,19,373,8,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,apache_sling-org-apache-sling-servlets-resolver,4266,37,39,257,8,0,2,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,apache_sling-slingstart-maven-plugin,3881,32,35,186,45,0,1,15,0,14,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,apache_sling-org-apache-sling-testing-jcr-mock,2155,23,22,348,9,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,apache_sling-org-apache-sling-testing-osgi-mock,3176,41,42,359,44,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,apache_sling-org-apache-sling-testing-paxexam,1370,5,3,102,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,apache_sling-org-apache-sling-testing-resourceresolver-mock,1194,16,15,140,6,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,apache_sling-scriptingbundle-maven-plugin,1117,11,13,78,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,roller-master,47689,665,528,5243,176,0,12,74,0,18,0,14,27,4,0,1,2,0,0,0,0,0,1,2,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0
106,apache_sling-org-apache-sling-scripting-jsp-taglib,1414,29,28,153,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
108,apache_sling-org-apache-sling-discovery-oak,2328,7,7,101,8,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,knox-gateway,65331,1123,1312,7338,381,0,2,73,0,30,0,106,85,34,0,0,1,0,0,43,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
110,pdfbox-reactor,138598,1194,1290,10746,226,0,15,38,0,5,2,2,10,39,0,0,4,0,3,0,0,0,57,2,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0
111,apache_sling-org-apache-sling-discovery-base,2717,30,25,220,27,0,0,22,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,apache_sling-org-apache-sling-discovery-commons,2510,33,35,199,18,0,0,9,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,apache_sling-org-apache-sling-engine,7723,68,111,925,39,0,0,0,0,0,0,4,5,24,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
114,apache_sling-org-apache-sling-event,8691,59,76,592,37,0,0,2,0,21,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
