squid,id,present,doc_url,new_doc_url,short_description,granularity_level,atd_dimension
squid:ClassCyclomaticComplexity,java:1311,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-1311,,Classes should not be too complex,classes,complexity
squid:S1444,java:S1444,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-1444,,"""public static"" fields should be constant",classes,constants
squid:S1598,java:S1598,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-1598,,Package declaration should match source file directory,classes,naming
squid:S1609,java:S1609,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-1609,,@FunctionalInterface annotation should be used to flag Single Abstract Method interfaces,functions,interface
squid:S1610,java:S1610,,https://jira.sonarsource.com/browse/RSPEC-1610,,Abstract classes without fields should be converted to interfaces,classes,interface
squid:S2059,java:S2059,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-2059,,"Serializable inner classes of ""Serializable"" classes should be static",classes,vmsmell
squid:S2062,java:S2062,,https://jira.sonarsource.com/browse/RSPEC-2062,,readResolve methods should be inheritable,classes,inheritance
squid:S2134,java:S2134,ABSENT,https://jira.sonarsource.com/browse/RSPEC-2134,,"Classes extending java.lang.Thread should override the ""run"" method",classes,threading
squid:S2157,java:S2157,,https://jira.sonarsource.com/browse/RSPEC-2157,,"""Cloneables"" should implement ""clone""",classes,inheritance	 vmsmell
squid:S2166,java:S2166,,https://jira.sonarsource.com/browse/RSPEC-2166,,"Classes named like ""Exception"" should extend ""Exception"" or a subclass",classes,exception
squid:S2221,java:S2221,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-2221,,"""Exception"" should not be caught when not required by called methods",ncloc_java,exception
squid:S2222,java:S2222,,https://jira.sonarsource.com/browse/RSPEC-2222,,Locks should be released,ncloc_java,threading
squid:S2236,java:S2236,,https://jira.sonarsource.com/browse/RSPEC-2236,,"Methods ""wait(...)""	 ""notify()"" and ""notifyAll()"" should never be called on Thread instances",ncloc_java,threading
squid:S2273,java:S2273,,https://jira.sonarsource.com/browse/RSPEC-2273,,"""wait(...)""	 ""notify()"" and ""notifyAll()"" methods should only be called when a lock is obviously held on an object",ncloc_java,threading
squid:S2276,java:S2276,,https://jira.sonarsource.com/browse/RSPEC-2276,,"""wait(...)"" should be used instead of ""Thread.sleep(...)"" when a lock is held",ncloc_java,threading
squid:S2386,java:S2386,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-2386,,"Mutable fields should not be ""public static""",classes,member
squid:S2638,java:S2638,,https://jira.sonarsource.com/browse/RSPEC-2638,,Method overrides should not change contracts,functions,inheritance	 vmsmell
squid:S2693,java:S2693,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-2693,,Threads should not be started in constructors,classes,threading
squid:S2696,java:S2696,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-2696,,"Instance methods should not write to ""static"" fields",ncloc_java,variables
squid:S2885,java:S2885,,https://jira.sonarsource.com/browse/RSPEC-2885,,"""Calendars"" and ""DateFormats"" should not be static",classes,threading
squid:S2975,java:S2975,,https://jira.sonarsource.com/browse/RSPEC-2975,,clone should not be overridden,classes,inheritance	 vmsmell
squid:S3398,java:S3389,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-3398,,private methods called only by inner classes should be moved to those classes,functions,member
squid:S3422,java:S3422,OUT OF QUALITY PROFILE,https://jira.sonarsource.com/browse/RSPEC-3422,,"Dependencies should not have ""system"" scope",ncloc_java,lockin
